permission_id,permission_category,permission_description,permission (as in AndroidManifest.xml),,Number of apps requested,Privilegged app only?,details,Decision,Investigation result
166,Other,interact with a device admin,android.permission.BIND_DEVICE_ADMIN,,24,Yes,Allows the holder to send intents to a device administrator. Should never be needed for normal apps.,need explanation - device management,allow an application to act as a device administrator. This permission is typically used by applications that provide device management or security features. (ChatGPT)
167,Other,invoke the carrier-provided configuration app,android.permission.INVOKE_CARRIER_SETUP,,3,Yes,Allows the holder to invoke the carrier-provided configuration app. Should never be needed for normal apps.,"need explanation - update carrier, change carrier settings",
168,Other,configure Wifi displays,android.permission.CONFIGURE_WIFI_DISPLAY,,18,Yes,Allows the app to configure and connect to Wifi displays.,need explanation - wifi display (configuration),"Seems not privilegged.
Some Android devices support Wi-Fi display functionality, which allows users to wirelessly stream the device's screen to a compatible display, such as a smart TV or a Wi-Fi-enabled projector. To configure and control this wireless display feature, system-level components or specialized tools may request the android.permission.CONFIGURE_WIFI_DISPLAY permission. (ChatGPT)"
169,Other,Control displaying and hiding keyguard,android.permission.CONTROL_KEYGUARD,,14,Yes,Allows an application to control keguard.,need explanation - device management (lock or unlock keyguard),Lock Screen Customization or Security Extensions (ChatGPT)
170,Other,Audio Routing,android.permission.MODIFY_AUDIO_ROUTING,,22,Yes,Allows the app to directly control audio routing and override audio policy decisions.,need explanation - changing audio input / output device,
171,Other,Whitelist bluetooth device access.,com.android.permission.WHITELIST_BLUETOOTH_DEVICE,,1,,"Allows the app to temporarily whitelist a Bluetooth device, allowing that device to send files to this device without user confirmation.",need explanation - bluetooth data transmission,
172,Other,monitor and control all app launching,android.permission.SET_ACTIVITY_WATCHER,,9,Yes,"Allows the app to monitor and control how the system launches activities. Malicious apps may completely compromise the system. This permission is only needed for development, never for normal use.","need explanation - device management, security, monitoring",
173,Other,send SMS-received broadcast,android.permission.BROADCAST_SMS,,26,Yes,Allows the app to broadcast a notification that an SMS message has been received. Malicious apps may use this to forge incoming SMS messages.,"need explanation - SMS, 2FA","Not for use by third-party applications.
SMS Handling and Notification, to broadcast SMS (text message) received events to other app"
174,Other,retrieve screen content,android.permission.RETRIEVE_WINDOW_CONTENT,,4,Yes,Allows the app to retrieve the content of the active window. Malicious apps may retrieve the entire window content and examine all its text except passwords.,Need to explain why screen contents (text and images) are needed,
175,Other,Manage media projection sessions,android.permission.MANAGE_MEDIA_PROJECTION,,3,Yes,Allows an application to manage media projection sessions. These sessions can provide applications the ability to capture display and audio contents. Should never be needed by normal apps.,Need to explain why screen capture is needed,
176,Other,manage network policy,android.permission.MANAGE_NETWORK_POLICY,,10,Yes,Allows the app to manage network policies and define app-specific rules.,"need explanation - network (monitor, access control, VPN)","Network Usage Control - data usage limit, restrict or allow access to certain websites or services, VPN
Parental control (network)"
177,Other,start a task from recents,android.permission.START_TASKS_FROM_RECENTS,,9,Yes,Allows an application to start a task from a ActivityManager#RecentTaskInfo.,need explanation - why start a recent task,
178,Other,change/intercept network settings and traffic,android.permission.WRITE_APN_SETTINGS,,4,Yes,"Allows the app to change network settings and to intercept and inspect all network traffic, for example to change the proxy and port of any APN. Malicious apps may monitor, redirect, or modify network packets without your knowledge.",need explanation - mobile network configuration,Not for use by third-party applications.
179,Other,make app always run,android.permission.PERSISTENT_ACTIVITY,,98,,Allows the app to make parts of itself persistent in memory. This can limit memory available to other apps slowing down the phone.,Need explanation - reason for the app to keep alive / continuous function,"create an activity that will not be destroyed when the user leaves the application (Google-PaLM)
music app; podcast; a fitness tracking app; voice recorders; navigation apps
This constant was deprecated in API level 15.
This functionality will be removed in the future; please do not use. Allow an application to make its activities persistent.
https://developer.android.com/reference/android/Manifest.permission#PERSISTENT_ACTIVITY"
180,Other,view configured accounts,com.google.android.googleapps.permission.GOOGLE_AUTH,,52,,Allows apps to see the usernames (email addresses) of the Google account(s) you have configured.,Need explanation if the app is not from Google; ok for apps from Google,
181,Other,use any media decoder for playback,android.permission.ALLOW_ANY_CODEC_FOR_PLAYBACK,,8,Yes,Allows the app to use any installed media decoder to decode for playback.,Video or Audio playback; others - need explanation,
182,Other,provide an in-call user experience,android.permission.CONTROL_INCALL_EXPERIENCE,,14,Yes,Allows an application to control the in-call experience.,need explanation - call management and customization,"to customize the in-call experience by adding additional buttons, options, or features to the default phone app. This can include features like call blocking, call screening, call analytics, or integration with third-party services. (ChatGPT)"
183,Other,read voicemail,com.android.voicemail.permission.READ_VOICEMAIL,,11,Yes,Allows an application to read voicemails in the system.,need explanation - voicemail,
184,Other,write voicemails,com.android.voicemail.permission.WRITE_VOICEMAIL,,7,Yes,Allows an application to write voicemails in the system.,need explanation - voicemail,
185,Other,send respond-via-message events,android.permission.SEND_RESPOND_VIA_MESSAGE,,16,Yes,Allows the app to send requests to other messaging apps to handle respond-via-message events for incoming calls.,need explanation - send (automated) message,Not for use by third-party applications.
186,Other,MMS Wakeup,android.permission.MMS_SEND_OUTBOX_MSG,,4,,Sends out all MMSs from the outbox to the network,need explanation - sending MMS,
187,Other,YouTube,com.google.android.googleapps.permission.GOOGLE_AUTH.youtube,,23,,Allows apps to sign in to YouTube using the account(s) stored on this Android device.,need explanation - access youtube,
188,Other,read your social stream,android.permission.READ_SOCIAL_STREAM,,76,,"Allows the app to access and sync social updates from you and your friends. Be careful when sharing information -- this allows the app to read communications between you and your friends on social networks, regardless of confidentiality. Note: this permission may not be enforced on all social networks.","need explanation - social media, notification",
189,Other,write to your social stream,android.permission.WRITE_SOCIAL_STREAM,,69,,Allows the app to display social updates from your friends. Be careful when sharing information -- this allows the app to produce messages that may appear to come from a friend. Note: this permission may not be enforced on all social networks.,"need explanation - social media, notification",
190,Other,retrieve app ops statistics,android.permission.GET_APP_OPS_STATS,,7,Yes,Allows the app to retrieve collected application operation statistics. Not for use by normal apps.,"need explanation - app management, privacy","the number of times an application has been launched or the amount of time an application has been in use (Google - PaLM)
detailed information about the app permissions and usage (ChatGPT)"
191,Other,send WAP-PUSH-received broadcast,android.permission.BROADCAST_WAP_PUSH,,19,Yes,Allows the app to broadcast a notification that a WAP PUSH message has been received. Malicious apps may use this to forge MMS message receipt or to silently replace the content of any webpage with malicious variants.,need to explain why WAP push message is sent (to other user(s) on device),Not for use by third-party applications.
192,Other,implement MTP protocol,android.permission.ACCESS_MTP,,5,Yes,Allows access to the kernel MTP driver to implement the MTP USB protocol.,need explanation - media transfer,"MTP is a protocol used for transferring media files between a device, such as a smartphone or tablet, and a computer. (ChatGPT)"
193,Other,test hardware,android.permission.HARDWARE_TEST,,36,Yes,Allows the app to control various peripherals for the purpose of hardware testing.,need explanation - testing device hardware,Grants an application the ability to perform hardware testing and diagnostics on the device. This permission is typically used by specialized system-level apps or diagnostic tools for testing specific hardware components. (ChatGPT)
194,Other,access all Google services,com.google.android.googleapps.permission.GOOGLE_AUTH.ALL_SERVICES,,5,,Allows apps to sign in to ALL Google services using the account(s) stored on this Android device.,OK for Google apps; others: need explanation why need to access Google,
195,Other,access other Google services,com.google.android.googleapps.permission.GOOGLE_AUTH.OTHER_SERVICES,,30,,Allows apps to sign in to unspecified Google services using the account(s) stored on this Android device.,OK for Google apps; others: need explanation why need to access Google,
196,Other,Google Spreadsheets,com.google.android.googleapps.permission.GOOGLE_AUTH.wise,,26,,Allows apps to sign in to Google Spreadsheets using the account(s) stored on this Android device.,OK for Google apps; others: need explanation why need to access Google,
197,Other,Google Docs,com.google.android.googleapps.permission.GOOGLE_AUTH.writely,,27,,Allows apps to sign in to Google Docs using the account(s) stored on this Android device.,OK for Google apps; others: need explanation why need to access Google Docs,
198,Other,read precise phone states,android.permission.READ_PRECISE_PHONE_STATE,,29,Yes,"Allows read only access to precise phone state. Allows reading of detailed information about phone state for special-use applications such as dialers, carrier applications, or ims applications.",need explanation - phone state,"Seems not privilegged.
Allows reading of detailed information about phone state for special-use applications such as dialers, carrier applications, or ims applications.
Get the device's phone number or to get the device's IMEI number (Google - PaLM)"
199,SMS,read cell broadcast messages,android.permission.READ_CELL_BROADCASTS,,47,,Allows the app to read cell broadcast messages received by your device. Cell broadcast alerts are delivered in some locations to warn you of emergency situations. Malicious apps may interfere with the performance or operation of your device when an emergency cell broadcast is received.,"need explanation - emergency, alert, weather",Cell broadcast messages are messages sent by the mobile network operator to all devices within a specific geographical area. (ChatGPT)
200,Other,Google mail,com.google.android.googleapps.permission.GOOGLE_AUTH.mail,,25,,Allows apps to sign in to Google mail services using the account(s) stored on this Android device.,OK for Google apps; others: need explanation why need to access Gmail,
201,Other,manage preferences and permissions for USB devices,android.permission.MANAGE_USB,,25,Yes,Allows the app to manage preferences and permissions for USB devices.,"need explanation - USB control, USB tethering",Likely Protection level: signature|appop|preinstalled
202,Other,modify network usage accounting,android.permission.MODIFY_NETWORK_ACCOUNTING,,5,Yes,Allows the app to modify how network usage is accounted against apps. Not for use by normal apps.,need explanation - change or reset the network data,
203,Other,Provide a trust agent.,android.permission.PROVIDE_TRUST_AGENT,,2,Yes,Allows an application to provide a trust agent.,need explanation - smart lock,"allows an application to act as a Trust Agent, which is a component responsible for managing device security and user authentication. (ChatGPT)
Smart Lock Apps"
204,Other,score networks,android.permission.SCORE_NETWORKS,,5,Yes,Allows applications to act as network scorers.,need explanation - network assessment,"to score networks, such as to rank networks by their quality or to select the best network to use (Google PaLM)"
205,Other,reset display timeout,android.permission.USER_ACTIVITY,,5,Yes,Allows the app to reset the display timeout.,need explanation,
206,Other,Send broadcasts to Google Play.,com.google.android.gms.permission.INTERNAL_BROADCAST,,1,,"No description yet, this could be a misspelling or a permission created by the app itself",OK for Google apps; others: need explanation why need to access Google,"This permission is not meant for general use or for third-party developers to request. It is specific to Google's own apps and services and is used for internal communication and coordination between various components within the Google Play services framework. (ChatGPT)
This permission is required if an application wants to receive internal broadcasts from Google Play services, such as to receive a broadcast when a new version of Google Play services is installed or to receive a broadcast when a new feature is added to Google Play services. (Google-PaLM)"
207,Other,Read Google settings,com.google.android.providers.settings.permission.READ_GSETTINGS,,4,,"No description yet, this could be a misspelling or a permission created by the app itself",OK for Google apps; others: need explanation why need to access Google,
208,Other,Modify Google settings,com.google.android.providers.settings.permission.WRITE_GSETTINGS,,10,,"No description yet, this could be a misspelling or a permission created by the app itself","OK for Google apps; others: need explanation why need to access Google, management",
209,Other,Advanced download manager functions.,android.permission.ACCESS_DOWNLOAD_MANAGER_ADVANCED,,25,,Allows the app to access the download manager\'s advanced functions. Malicious apps can use this to disrupt downloads and access private information.,need explanation - change dl manager settings,to extend the functionality of the Download Manager and provide additional features or customization options for file downloads (ChatGPT)
210,Other,read historical network usage,android.permission.READ_NETWORK_USAGE_HISTORY,,33,Yes,Allows the app to read historical network usage for specific networks and apps.,need explanation - network management,
211,Other,modify the Google services map,android.permission.WRITE_GSERVICES,,14,Yes,Allows the app to modify the Google services map. Not for use by normal apps.,OK for Google apps; others: need explanation why need to modify Google service map,Not for use by third-party applications.
212,Other,access to passwords for Google accounts,com.google.android.googleapps.permission.ACCESS_GOOGLE_PASSWORD,,1,,,"OK for Google apps; others: need explanation why need to access Google, management",
213,Other,YouTube usernames,com.google.android.googleapps.permission.GOOGLE_AUTH.YouTubeUser,,27,,Allows apps to see the YouTube username(s) associated with the Google account(s) stored on this Android device.,"OK for Google apps; others: need explanation why need to access Google, management",
214,Other,select Gmail or Google Mail branding,com.google.android.googleapps.permission.GOOGLE_MAIL_SWITCH,,1,,,"OK for Google apps; others: need explanation why need to access Google, management",
215,Other,Exchanges messages and receives sync notifications from Google servers.,com.google.android.gtalkservice.permission.GTALK_SERVICE,,1,,Used for server cloud to device messages and for sync notifications. Google Talk uses this service to exchange messages and to synchronize presence status. Malicious apps could use this service to transmit excess data.,"OK for Google apps; others: need explanation why need to access Google, management",
216,Other,Send heartbeat to Google Talk server,com.google.android.gtalkservice.permission.SEND_HEARTBEAT,,2,,Can send a heartbeat packet to the Google Talk server to ensure the health of the connection.,"OK for Google apps; others: need explanation why need to access Google, management",
217,Other,Broadcast XMPP messages to apps.,com.google.android.xmpp.permission.XMPP_ENDPOINT_BROADCAST,com.google.android.xmpp.permission.BROADCAST,2,,Can broadcast XMPP messages received from the Google servers to apps.,"OK for Google apps; others: need explanation why need to access Google, management",
218,Other,Preload results,com.android.browser.permission.PRELOAD,,2,,null,OK for browsers; others: need explanation why need to preload,allow an application to preload content from the browser
219,Other,Permission to write Sound Search matches,com.google.android.voicesearch.AUDIO_FILE_ACCESS,,2,,,need explanation to use voice search,"These permissions are defined inside of the Voice Search APK and GMail APK. They are private permissions, protected by APK signature.
They are used to restrict access to internal application data and private Intent targets, and are not intended to be user visible.
https://stackoverflow.com/questions/12041396/permissions-for-voice-search"
220,Other,contacts data in Google accounts,com.google.android.googleapps.permission.GOOGLE_AUTH.cp,,20,,Allows apps to access the contacts and profile information of account(s) stored on this Android device.,need explanation why need to access contacts,
221,Other,discourage automatic device updates,android.permission.UPDATE_LOCK,,3,Yes,Allows the holder to offer information to the system about when would be a good time for a noninteractive reboot to upgrade the device.,need explanation - delay update,(Google-PaLM wrong answer)
222,Other,start any activity,android.permission.START_ANY_ACTIVITY,,6,Yes,"Allows the app to start any activity, regardless of permission protection or exported state.",need explanation - starting others' tasks,
223,Other,connect and disconnect from WiMAX,android.permission.ACCESS_WIMAX_STATE,,69,,Allows the app to determine whether WiMAX is enabled and information about any WiMAX networks that are connected.,"need explanation - WiMAX / network management (signal strength, connection status)",WiMAX - a wireless communication technology for providing high-speed internet access
224,Other,Read install sessions,android.permission.READ_INSTALL_SESSIONS,,59,,Allows an application to read install sessions. This allows it to see details about active package installations.,need explanation - app update management,"to track and monitor the installation sessions of apps on the device (ChatGPT)
to read the install sessions, such as to get the list of installed packages or to get the details of an installed package (Google-PaLM)"
225,Other,read instant messages,com.google.android.providers.talk.permission.READ_ONLY,,57,,Allows apps to read data from the Google Talk content provider.,need explanation - Google Talk-related,"to read data from the Google Talk provider, such as to get the list of Google Talk contacts or to get the details of a Google Talk conversation (Google-PaLM)"
226,Other,write instant messages,com.google.android.providers.talk.permission.WRITE_ONLY,,55,,Allows apps to write data from the Google Talk content provider.,need explanation - Google Talk-related,
227,Other,Change WiMAX state,android.permission.CHANGE_WIMAX_STATE,,67,,Allows the app to connect the phone to and disconnect the phone from WiMAX networks.,need explanation - WiMAX network management,
228,Other,record audio,android.permission.RECORD_AUDIO,,1,,Allows the app to record audio with the microphone. This permission allows the app to record audio at any time without your confirmation.,"Need to specify clearly - audio, voice
Same as 14",
229,Other,bind to a print service,android.permission.BIND_PRINT_SERVICE,,9,Yes,Allows the holder to bind to the top-level interface of a print service. Should never be needed for normal apps.,need explanation - printing,"bind to the print service and utilize its capabilities to discover available printers, configure print options, and submit print jobs (ChatGPT)"
230,Other,take pictures and videos,android.permission.CAMERA,,16,,Allows the app to take pictures and videos with the camera. This permission allows the app to use the camera at any time without your confirmation.,"Need to specify clearly - photo, picture, video, live
Same as 17",
231,Other,access watched TV program information,com.android.providers.tv.permission.ACCESS_WATCHED_PROGRAMS,,7,,Allows an application to read and write watched programs data.,"For apps running on Android TV, needs explanation",
232,Other,precise location (GPS and network-based),android.permission.ACCESS_FINE_LOCATION,,9,,"Allows the app to get your precise location using the Global Positioning System (GPS) or network location sources such as cell towers and Wi-Fi. These location services must be turned on and available to your device for the app to use them. Apps may use this to determine where you are, and may consume additional battery power.","Need explanation - need to specify clearly ""location"", ""nearby"" (same as 37)",
233,Other,bind to a text service,android.permission.BIND_TEXT_SERVICE,,4,Yes,Allows the holder to bind to the top-level interface of a text service(e.g. SpellCheckerService). Should never be needed for normal apps.,need explanation - text-related,Protection level: signature
234,Other,access checkin properties,android.permission.ACCESS_CHECKIN_PROPERTIES,,44,Yes,Allows the app read/write access to properties uploaded by the checkin service. Not for use by normal apps.,need explanation - checkin,"Not for use by third-party applications.
checkin ID / status"
235,Other,bind to a voice interactor,android.permission.BIND_VOICE_INTERACTION,,12,Yes,Allows the holder to bind to the top-level interface of a voice interaction service. Should never be needed for normal apps.,need explanation - voice assistant,"Protection level: signature
can bind to the voice interaction service and intercept voice commands given by the user (ChatGPT)"
236,Other,read phone status and identity,android.permission.READ_PHONE_STATE,,2,,"Allows the app to access the phone features of the device. This permission allows the app to determine the phone number and device IDs, whether a call is active, and the remote number connected by a call.","explanation - authentication tied with a phone / number (same as 28,29)",
237,Other,control location update notifications,android.permission.CONTROL_LOCATION_UPDATES,,53,Yes,Allows the app to enable/disable location update notifications from the radio. Not for use by normal apps.,need explanation - control location update,"Not for use by third-party applications.
to control location updates, such as to start or stop location updates or to change the location update interval (Google-PaLM)"
238,Other,interact with in-call screen,android.permission.BIND_CALL_SERVICE,,4,,Allows the app to control when and how the user sees the in-call screen.,need explanation - call screen,
239,Other,bind to an input method,android.permission.BIND_INPUT_METHOD,,13,Yes,Allows the holder to bind to the top-level interface of an input method. Should never be needed for normal apps.,need explanation - input method,"Protection level: signature
to provide alternative input methods for text entry. (ChatGPT)
to get the current input method or to change the input method (Google-PaLM)"
240,Other,directly call phone numbers,android.permission.CALL_PHONE,,1,,Allows the app to call phone numbers without your intervention. This may result in unexpected charges or calls. Note that this doesn\'t allow the app to call emergency numbers. Malicious apps may cost you money by making calls without your confirmation.,Security / safety apps (notify someone),
241,Other,bind to NFC service,android.permission.BIND_NFC_SERVICE,,15,Yes,Allows the holder to bind to applications that are emulating NFC cards. Should never be needed for normal apps.,need explanation - NFC,Protection level: signature
242,Other,send Linux signals to apps,android.permission.SIGNAL_PERSISTENT_PROCESSES,,15,Yes,Allows the app to request that the supplied signal be sent to all persistent processes.,need explanation - app management,Not for use by third-party applications.
243,Other,force background apps to close,android.permission.SET_ALWAYS_FINISH,android.permission.KILL_BACKGROUND_PROCESSES,10,Yes,Allows the app to control whether activities are always finished as soon as they go to the background. Never needed for normal apps.,"cleaner, security, privacy; others need explanation",Not for use by third-party applications.
244,Other,force app to close,android.permission.FORCE_BACK,,7,Yes,Allows the app to force any activity that is in the foreground to close and go back. Should never be needed for normal apps.,"cleaner, security, privacy; others need explanation",
245,Other,move app resources,android.permission.MOVE_PACKAGE,,4,Yes,Allows the app to move app resources from internal to external media and vice versa.,app management; cleaner; others: need explanation,
246,Other,copy content,android.permission.COPY_PROTECTED_DATA,,2,Yes,copy content,need explanation - backup and recovery,
247,Other,find accounts on the device,android.permission.GET_ACCOUNTS,,2,,Allows the app to get the list of accounts known by the phone. This may include any accounts created by applications you have installed.,All ok with reasonable description (Check 16),
248,Other,read/write to resources owned by diag,android.permission.DIAGNOSTIC,,7,Yes,"Allows the app to read and write to any resource owned by the diag group; for example, files in /dev. This could potentially affect system stability and security. This should be ONLY be used for hardware-specific diagnostics by the manufacturer or operator.",need explanation - device management,Not for use by third-party applications.
249,Other,read your contacts,android.permission.READ_CONTACTS,,1,,"Allows the app to read data about your contacts stored on your phone, including the frequency with which you\'ve called, emailed, or communicated in other ways with specific individuals. This permission allows apps to save your contact data, and malicious apps may share contact data without your knowledge.","Need to specify ""contact list"" (check 45)",
250,Other,access DRM certificates,android.permission.ACCESS_DRM_CERTIFICATES,,3,Yes,Allows an application to provision and use DRM certficates. Should never be needed for normal apps.,need explanation - DRM,retrieve DRM certificates associated with the user's account or subscription. use these certificates to decrypt and play DRM-protected content securely on the device. (ChatGPT)
251,Other,access notifications,android.permission.ACCESS_NOTIFICATIONS,,19,Yes,"Allows the app to retrieve, examine, and clear notifications, including those posted by other apps.",need explanation - notification management,"access the notifications from various apps and perform actions such as grouping, filtering, prioritizing, or dismissing notifications. offer features like notification history, custom notification categories, or advanced notification settings (ChatGPT)"
252,Other,interact with telephony services,android.permission.BIND_TELECOM_CONNECTION_SERVICE,,1,Yes,"Must be required by a ConnectionService, to ensure that only the system can bind to it.",need explanation - telephony services,"Protection level: signature|privileged
can access and utilize the telecom connection service's functionality to record phone calls in a reliable and consistent manner (ChatGPT)"
253,Other,bind to a widget service,android.permission.BIND_APPWIDGET,,12,Yes,Allows the app to tell the system which widgets can be used by which app. An app with this permission can give access to personal data to other apps. Not for use by normal apps.,need explanation - app widget control / management,Not for use by third-party applications.
254,Other,bind to a TV input,android.permission.BIND_TV_INPUT,,2,Yes,Allows the holder to bind to the top-level interface of a TV input. Should never be needed for normal apps.,"For apps running on Android TV, needs explanation",Protection level: signature|privileged
255,Other,Broadcast the call type/duration information,android.permission.BROADCAST_CALLLOG_INFO,,2,,null,need explanation - reason to broadcast,
256,Other,disable transmit indicator LED when camera is in use,android.permission.CAMERA_DISABLE_TRANSMIT_LED,,2,Yes,Allows a pre-installed system application to disable the camera use indicator LED.,need explanation - taking photos secretly,"to capture photos or record videos discreetly, without drawing attention to the camera's activity (ChatGPT)"
257,Other,Reserve space in the download cache,android.permission.DOWNLOAD_CACHE_NON_PURGEABLE,,2,,"Allows the app to download files to the download cache, which can't be automatically deleted when the download manager needs more space.","need explanation - ""persistent"" cache",
258,Other,Launch trust agent settings menu.,android.permission.LAUNCH_TRUST_AGENT_SETTINGS,,1,Yes,Allows an application to launch an activity that changes the trust agent behavior.,need explanation - manage trust agent,"Trusted agents are security-related components that provide features such as device lockdown, password management, or biometric authentication. provide a convenient way for users to access and configure the settings related to biometric authentication. Users can manage their biometric data, enable or disable biometric authentication methods, or set up additional security measures. (ChatGPT)"
259,Other,manage trusted credentials,android.permission.MANAGE_CA_CERTIFICATES,,3,Yes,Allows the app to install and uninstall CA certificates as trusted credentials.,need explanation - manage trust credentials,
260,Other,modify parental controls,android.permission.MODIFY_PARENTAL_CONTROLS,,3,Yes,Allows the holder to modify the system's parental controls data. Should never be needed for normal apps.,need explanation - parental control,
261,Other,Receive Android Beam transfer status,android.permission.NFC_HANDOVER_STATUS,,1,Yes,Allows this application to receive information about current Android Beam transfers,need explanation,
262,Other,verify packages,android.permission.PACKAGE_VERIFICATION_AGENT,,2,Yes,Allows the app to verify a package is installable.,"need explanation - security, cleaner, device management",allows an application to act as a package verification agent. The package verification agent is responsible for verifying the integrity and authenticity of installed packages on an Android device. (ChatGPT)
263,Other,directly start CDMA device setup,android.permission.PERFORM_CDMA_PROVISIONING,,2,Yes,Allows the app to start CDMA provisioning. Malicious apps may unnecessarily start CDMA provisioning.,need explanation - provide CDMA,CDMA provisioning typically involves configuring network settings and activating CDMA-based cellular services (ChatGPT)
264,Other,Register to handle the broadcasted call type/duration information,android.permission.PROCESS_CALLLOG_INFO,,1,,null,need explanation - process call log,
265,Other,receive Bluetooth messages (MAP),android.permission.RECEIVE_BLUETOOTH_MAP,,2,Yes,"Allows an application to monitor incoming Bluetooth MAP messages, to record or perform processing on them.",need explanation - Bluetooth MAP message,
266,Other,receive emergency broadcasts,android.permission.RECEIVE_EMERGENCY_BROADCAST,,1,Yes,Allows the app to receive and process emergency broadcast messages. This permission is only available to system apps.,"need explanation - emergency, alert",
267,Other,remove DRM certificates,android.permission.REMOVE_DRM_CERTIFICATES,,1,Yes,Allows an application to remove DRM certficates. Should never be needed for normal apps.,need explanation - DRM certificate management,
268,Other,access serial ports,android.permission.SERIAL_PORT,,1,Yes,Allows the holder to access serial ports using the SerialManager API.,"need explanation - connection, serial port",
269,Other,view Wi-Fi connections,android.permission.ACCESS_WIFI_STATE,,5,,"Allows the app to view information about Wi-Fi networking, such as whether Wi-Fi is enabled and name of connected Wi-Fi devices.",Apps perform real-time / online activities (check 2),
270,Other,access InputFlinger,android.permission.ACCESS_INPUT_FLINGER,,1,Yes,Allows the app to use InputFlinger low-level features.,need explanation - user input,"Input Flinger is a critical system service responsible for handling input events on an Android device, such as touch, keyboard, or sensor events. (ChatGPT)"
271,Other,access Bluetooth MAP data,android.permission.BLUETOOTH_MAP,,1,Yes,Allows the vehicle to send and receive SMS messages via a connected remote device.,need explanation - bluetooth messaging,"Hands-Free Messaging App; Bluetooth Message Access Profile (MAP). MAP enables the exchange of messages, such as SMS or email, between a Bluetooth-enabled device and a compatible device, such as a car's infotainment system. (ChatGPT)"
272,Other,manage app tokens,android.permission.MANAGE_APP_TOKENS,,10,Yes,"Allows the app to create and manage their own tokens, bypassing their normal Z-ordering. Should never be needed for normal apps.",need explanation - app management,"used by the Android system for managing and manipulating application windows and their behavior (ChatGPT)

When an app is installed, the system generates an app token for it. This token is stored in the app's manifest file. When the app is launched, the system uses the app token to identify the app and to grant it the permissions that it has been granted.
App tokens are also used to identify apps to other apps. For example, when an app wants to share data with another app, it can use the other app's app token to identify it.
App tokens are an important part of the Android security model. They help to ensure that only authorized apps can access data and that data is shared only with authorized apps. (Google-PaLM)"
273,Other,bind to a dream service,android.permission.BIND_DREAM_SERVICE,,2,Yes,Allows the holder to bind to the top-level interface of a dream service. Should never be needed for normal apps.,need explanation - screensaver,"Protection level: signature
DreamService is responsible for implementing screensavers or interactive daydreams on an Android device. With this permission, the app can implement a DreamService that defines the behavior and appearance of the screensaver. (ChatGPT)"
274,Other,permanently disable device,android.permission.BRICK,,1,Yes,Allows the app to disable the entire tablet permanently. This is very dangerous.,need explanation - device management,System app only
275,Other,run in factory test mode,android.permission.FACTORY_TEST,,7,Yes,"Run as a low-level manufacturer test, allowing complete access to the tablet hardware. Only available when a tablet is running in manufacturer test mode.",need explanation - device testing; troubleshooting,"Not for use by third-party applications.
typically used during the manufacturing or testing process of Android devices; verify the functionality of various hardware components, conduct quality assurance checks, and ensure that the device meets specified standards (ChatGPT)"
276,Other,change pointer speed,android.permission.SET_POINTER_SPEED,,1,Yes,Allows the app to change the mouse or trackpad pointer speed at any time. Should never be needed for normal apps.,"need explanation - user interface, pointer",Pointer speed refers to the sensitivity or responsiveness of the device's touch or mouse input (ChatGPT)
277,Other,grant or revoke permissions,android.permission.GRANT_REVOKE_PERMISSIONS,,2,,Allows an application to grant or revoke specific permissions for it or other applications. Malicious applications may use this to access features you have not granted them.,need explanation - device / app management,
278,Other,read sensitive log data,android.permission.READ_LOGS,,2,Yes,"Allows the app to read from the system\'s various log files. This allows it to discover general information about what you are doing with the phone, potentially including personal or private information.","need explanation - debug, troubleshoot, device management","Not for use by third-party applications.
Debugging and Troubleshooting Apps; System logs contain various types of information, including debugging messages, error logs, and runtime information generated by the operating system and apps running on the device. (ChatGPT)"
279,Other,control Wifi displays,android.permission.CONTROL_WIFI_DISPLAY,,3,Yes,Allows the app to control low-level features of Wifi displays.,need explanation - WiFi display management,
280,Other,start print service configuration activities,android.permission.START_PRINT_SERVICE_CONFIG_ACTIVITY,,1,,Allows the holder to start the configuration activities of a print service. Should never be needed for normal apps.,need explanation - printer setup,
281,Other,Google Maps,com.google.android.googleapps.permission.GOOGLE_AUTH.local,,21,,Allows apps to sign in to Google Maps using the account(s) stored on this Android device.,ok for Google apps; others need explanation - google map,
282,Other,approximate location (network-based),android.permission.ACCESS_COARSE_LOCATION,,15,,Allows the app to get your approximate location. This location is derived by location services using network location sources such as cell towers and Wi-Fi. These location services must be turned on and available to your device for the app to use them. Apps may use this to determine approximately where you are.,"Need to specify clearly - location, nearby (check 15)",
283,Other,AdSense,com.google.android.googleapps.permission.GOOGLE_AUTH.adsense,,19,,Allows apps to sign in to Google AdSense using the account(s) stored on this Android device.,ok for Google apps; others need explanation,"Apart from the Google app, also needed by cloner for account access?"
284,Other,AdWords,com.google.android.googleapps.permission.GOOGLE_AUTH.adwords,,19,,Allows apps to sign in to Google AdWords using the account(s) stored on this Android device.,ok for Google apps; others need explanation,"Apart from the Google app, also needed by cloner for account access?"
285,Other,Google App Engine,com.google.android.googleapps.permission.GOOGLE_AUTH.ah,,19,,Allows apps to sign in to Google App Engine using the account(s) stored on this Android device.,ok for Google apps; others need explanation,"Apart from the Google app, also needed by cloner for account access?"
286,Other,Blogger,com.google.android.googleapps.permission.GOOGLE_AUTH.blogger,,19,,Allows apps to sign in to Blogger using the account(s) stored on this Android device.,ok for Google apps; others need explanation,"Apart from the Google app, also needed by cloner for account access?"
